employee_id,performance,years_of_experience,projects_completed,bonus
EMP_001,7,2,4,124
EMP_002,4,1,4,82
EMP_003,8,7,10,178
EMP_004,5,7,8,138
EMP_005,7,8,9,170
EMP_006,10,5,8,186
EMP_007,3,3,5,84
EMP_008,7,8,9,170
EMP_009,8,6,9,170
EMP_010,5,3,6,110
EMP_011,4,1,4,82
EMP_012,8,3,5,144
EMP_013,8,5,8,162
EMP_014,3,3,6,86
EMP_015,6,1,4,106
EMP_016,5,5,8,126
EMP_017,2,10,11,126
EMP_018,8,7,8,174
EMP_019,6,7,10,154
EMP_020,2,9,11,120
EMP_021,5,10,11,162
EMP_022,1,10,13,118
EMP_023,10,3,4,166
EMP_024,6,7,8,150
EMP_025,9,1,3,140
EMP_026,1,4,7,70
EMP_027,10,4,7,178
EMP_028,3,5,7,100
EMP_029,7,7,9,164
EMP_030,4,7,10,130
EMP_031,9,4,7,166
EMP_032,3,7,9,116
EMP_033,5,3,4,106
EMP_034,3,6,7,106
EMP_035,7,2,4,124
EMP_036,5,10,11,162
EMP_037,9,9,11,204
EMP_038,7,5,6,146
EMP_039,2,6,7,94
EMP_040,4,4,7,106
EMP_041,9,10,13,214
EMP_042,2,7,8,102
EMP_043,10,9,10,214
EMP_044,9,7,10,190
EMP_045,10,1,4,154
EMP_046,5,1,4,94
EMP_047,2,9,11,120
EMP_048,4,9,10,142
EMP_049,7,4,7,142
EMP_050,8,9,10,190
EMP_051,3,3,5,84
EMP_052,1,7,9,92
EMP_053,4,6,9,122
EMP_054,2,8,10,112
EMP_055,8,9,10,190
EMP_056,4,5,8,114
EMP_057,2,1,2,54
EMP_058,6,3,4,118
EMP_059,6,10,12,176
EMP_060,10,8,10,208
EMP_061,4,6,8,120
EMP_062,6,8,10,160
EMP_063,2,9,11,120
EMP_064,10,4,7,178
EMP_065,2,1,2,54
EMP_066,10,1,2,150
EMP_067,4,10,11,150
EMP_068,8,4,5,150
EMP_069,7,7,9,164
EMP_070,9,2,3,146
EMP_071,8,3,6,146
EMP_072,5,1,4,94
EMP_073,2,5,6,86
EMP_074,5,1,2,90
EMP_075,8,8,11,186
EMP_076,10,1,4,154
EMP_077,9,1,3,140
EMP_078,9,2,5,150
EMP_079,1,2,4,52
EMP_080,9,6,8,180
EMP_081,7,7,9,164
EMP_082,9,5,7,172
EMP_083,8,1,3,128
EMP_084,1,1,2,42
EMP_085,8,3,6,146
EMP_086,8,2,4,136
EMP_087,3,5,8,102
EMP_088,1,10,13,118
EMP_089,8,6,8,168
EMP_090,3,7,8,114
EMP_091,3,4,6,92
EMP_092,1,7,8,90
EMP_093,5,8,11,150
EMP_094,10,1,2,150
EMP_095,7,6,7,154
EMP_096,10,8,9,206
EMP_097,9,5,8,174
EMP_098,7,4,7,142
EMP_099,9,2,3,146
EMP_100,8,6,7,166
